frame,e_y,e_y_dot,e_phi,e_phi_dot,index,u1/deg,u1_0,u1_1,u1_2,u1_3,u2,curvature,v_x,v_y,timestamp
1,0.179349,-0.003089,0.015359,-0.067719,0,2.249279,0.025234,-0.000006,0.014327,-0.000298,0.000000,0.000000,0.450000,-0.010000,1621677222458509884
2,0.179349,-0.001399,0.015359,-0.070860,0,2.248671,0.025234,-0.000003,0.014327,-0.000312,0.000000,0.000000,0.560000,-0.010000,1621677222482190340
3,0.179691,-0.001345,0.015184,-0.062134,0,2.244309,0.025283,-0.000003,0.014164,-0.000273,0.000000,0.000000,0.570000,-0.010000,1621677222497199820
4,0.179859,-0.000994,0.015010,-0.065275,0,2.235578,0.025306,-0.000002,0.014001,-0.000287,0.000000,0.000000,0.600000,-0.010000,1621677222521600726
5,0.180067,-0.000251,0.017104,-0.067370,0,2.348741,0.025335,-0.000000,0.015955,-0.000296,0.000000,0.000000,0.570000,-0.010000,1621677222533957929
6,0.180278,0.000147,0.017802,-0.071558,0,2.386745,0.025365,0.000000,0.016606,-0.000315,0.000000,0.000000,0.570000,-0.010000,1621677222557744922
7,0.180684,-0.009933,0.017977,-0.062832,0,2.400445,0.025422,-0.000019,0.016769,-0.000276,0.000000,0.000000,0.560000,-0.020000,1621677222579516946
8,0.180684,-0.009573,0.017977,-0.066497,0,2.399560,0.025422,-0.000018,0.016769,-0.000293,0.000000,0.000000,0.580000,-0.020000,1621677222597336125
9,0.179095,-0.009776,0.017628,-0.053582,0,2.371335,0.025199,-0.000019,0.016443,-0.000236,0.000000,0.000000,0.580000,-0.020000,1621677222619456660
10,0.179102,-0.010052,0.017453,-0.060912,0,2.360181,0.025200,-0.000019,0.016280,-0.000268,0.000000,0.000000,0.570000,-0.020000,1621677222636718412
11,0.179493,-0.010842,0.017279,-0.051313,0,2.356339,0.025255,-0.000021,0.016118,-0.000226,0.000000,0.000000,0.530000,-0.020000,1621677222659537188
12,0.179480,-0.010017,0.018151,-0.054629,0,2.402132,0.025253,-0.000019,0.016932,-0.000240,0.000000,0.000000,0.550000,-0.020000,1621677222679342662
13,0.179890,-0.009821,0.018850,-0.054280,0,2.442855,0.025311,-0.000019,0.017583,-0.000239,0.000000,0.000000,0.540000,-0.020000,1621677222698565042
14,0.170910,-0.008570,0.019373,-0.055851,0,2.398188,0.024047,-0.000016,0.018071,-0.000246,0.000000,0.000000,0.590000,-0.020000,1621677222718297742
