frame,e_y,e_y_dot,e_phi,e_phi_dot,index,u1/deg,u1_0,u1_1,u1_2,u1_3,u2,curvature,v_x,v_y,timestamp
1,-0.073055,-0.036858,0.003142,-0.007505,0,-0.630879,-0.014465,-0.000162,0.003677,-0.000061,0.000000,0.000000,1.000000,-0.040000,1621681919885049697
2,-0.072642,-0.036649,0.003491,-0.010123,0,-0.603950,-0.014383,-0.000161,0.004085,-0.000082,0.000000,0.000000,0.960000,-0.040000,1621681919893468093
3,-0.071841,-0.035780,0.004538,-0.001745,0,-0.520526,-0.014224,-0.000157,0.005311,-0.000014,0.000000,0.000000,0.930000,-0.040000,1621681919918552109
4,-0.071452,-0.035570,0.004712,-0.012915,0,-0.509551,-0.014148,-0.000157,0.005515,-0.000105,0.000000,0.000000,0.940000,-0.040000,1621681919936787059
5,-0.070303,-0.035192,0.005061,-0.011170,0,-0.472201,-0.013920,-0.000155,0.005924,-0.000090,0.000000,0.000000,0.950000,-0.040000,1621681919955294492
6,-0.073756,-0.035406,0.004887,-0.001396,0,-0.518588,-0.014604,-0.000156,0.005720,-0.000011,0.000000,0.000000,0.940000,-0.040000,1621681919976121118
7,-0.072980,-0.035131,0.005236,0.006981,0,-0.482417,-0.014450,-0.000155,0.006128,0.000057,0.000000,0.000000,0.930000,-0.040000,1621681919994290692
8,-0.072594,-0.034862,0.005585,-0.001047,0,-0.458292,-0.014374,-0.000153,0.006537,-0.000008,0.000000,0.000000,0.920000,-0.040000,1621681920015477610
9,-0.071469,-0.034694,0.005585,0.009425,0,-0.440630,-0.014151,-0.000153,0.006537,0.000076,0.000000,0.000000,0.950000,-0.040000,1621681920035271617
10,-0.071464,-0.035026,0.005236,-0.002967,0,-0.469819,-0.014150,-0.000154,0.006128,-0.000024,0.000000,0.000000,0.950000,-0.040000,1621681920056510856
11,-0.070320,-0.034888,0.005061,0.004712,0,-0.464940,-0.013923,-0.000154,0.005924,0.000038,0.000000,0.000000,1.010000,-0.040000,1621681920076151805
12,-0.073746,-0.036440,0.003491,-0.007505,0,-0.615210,-0.014602,-0.000160,0.004085,-0.000061,0.000000,0.000000,1.020000,-0.040000,1621681920097793928
13,-0.081581,-0.036371,0.003665,0.001920,0,-0.687997,-0.016153,-0.000160,0.004290,0.000016,0.000000,0.000000,0.990000,-0.040000,1621681920115143781
14,-0.081202,-0.036408,0.003665,-0.015533,0,-0.691809,-0.016078,-0.000160,0.004290,-0.000126,0.000000,0.000000,0.980000,-0.040000,1621681920134280693
15,-0.080442,-0.036509,0.003491,0.004538,0,-0.685601,-0.015928,-0.000161,0.004085,0.000037,0.000000,0.000000,1.000000,-0.040000,1621681920155097879
16,-0.080057,-0.036584,0.003316,-0.016232,0,-0.702595,-0.015851,-0.000161,0.003881,-0.000131,0.000000,0.000000,1.030000,-0.040000,1621681920176813571
17,-0.082718,-0.035644,0.004189,0.003840,0,-0.664702,-0.016378,-0.000157,0.004903,0.000031,0.000000,0.000000,1.040000,-0.040000,1621681920194688485
18,-0.081949,-0.035326,0.004538,-0.011519,0,-0.639626,-0.016226,-0.000155,0.005311,-0.000093,0.000000,0.000000,1.030000,-0.040000,1621681920219730389
19,-0.080827,-0.034481,0.005411,0.002443,0,-0.561680,-0.016004,-0.000152,0.006332,0.000020,0.000000,0.000000,1.020000,-0.040000,1621681920240493590
20,-0.080464,-0.034192,0.005585,-0.005760,0,-0.549595,-0.015932,-0.000150,0.006537,-0.000047,0.000000,0.000000,1.040000,-0.040000,1621681920256843816
21,-0.080109,-0.033888,0.005934,-0.006632,0,-0.522492,-0.015862,-0.000149,0.006945,-0.000054,0.000000,0.000000,1.030000,-0.040000,1621681920277416199
22,-0.082616,-0.035146,0.004712,-0.001571,0,-0.630822,-0.016358,-0.000155,0.005515,-0.000013,0.000000,0.000000,1.030000,-0.040000,1621681920298109576
23,-0.082251,-0.035162,0.004887,0.009076,0,-0.610043,-0.016286,-0.000155,0.005720,0.000074,0.000000,0.000000,0.990000,-0.040000,1621681920316269806
24,-0.082251,-0.035211,0.004887,0.012043,0,-0.608679,-0.016286,-0.000155,0.005720,0.000098,0.000000,0.000000,0.980000,-0.040000,1621681920347423744
25,-0.080829,-0.035211,0.004887,0.012043,0,-0.592547,-0.016004,-0.000155,0.005720,0.000098,0.000000,0.000000,0.980000,-0.040000,1621681920356139007
26,-0.080114,-0.035288,0.004712,0.001571,0,-0.601016,-0.015863,-0.000155,0.005515,0.000013,0.000000,0.000000,1.000000,-0.040000,1621681920380352646
27,-0.079407,-0.035162,0.004887,0.009425,0,-0.577618,-0.015723,-0.000155,0.005720,0.000076,0.000000,0.000000,0.990000,-0.040000,1621681920397145948
28,-0.079407,-0.035211,0.004887,0.016755,0,-0.574229,-0.015723,-0.000155,0.005720,0.000136,0.000000,0.000000,0.980000,-0.040000,1621681920417149909
29,-0.081896,-0.036199,0.003840,0.005411,0,-0.678197,-0.016215,-0.000159,0.004494,0.000044,0.000000,0.032169,0.990000,-0.040000,1621681920439222309
30,-0.081540,-0.036275,0.003840,0.014486,0,-0.669971,-0.016145,-0.000160,0.004494,0.000117,0.000000,0.032169,0.970000,-0.040000,1621681920456290239
31,-0.080474,-0.036391,0.003840,0.006807,0,-0.661466,-0.015934,-0.000160,0.004494,0.000055,0.000000,0.032169,0.940000,-0.040000,1621681920476176023
32,-0.080109,-0.036614,0.003491,0.019373,0,-0.674967,-0.015862,-0.000161,0.004085,0.000157,0.000000,0.032169,0.970000,-0.040000,1621681920494052665
33,-0.079366,-0.037181,0.002967,0.005236,0,-0.708349,-0.015714,-0.000164,0.003473,0.000042,0.000000,0.032169,0.950000,-0.040000,1621681920514622744
34,-0.082662,-0.037989,0.002094,0.014835,0,-0.800010,-0.016367,-0.000167,0.002451,0.000120,0.000000,0.032169,0.960000,-0.040000,1621681920534960373
35,-0.090541,-0.038010,0.002094,0.013614,0,-0.889969,-0.017927,-0.000167,0.002451,0.000110,0.000000,0.032169,0.950000,-0.040000,1621681920555829368
36,-0.089438,-0.027984,0.001920,0.008029,0,-0.889214,-0.017709,-0.000123,0.002247,0.000065,0.000000,0.032169,1.050000,-0.030000,1621681920579832861
37,-0.089438,-0.027984,0.001920,0.008029,0,-0.889214,-0.017709,-0.000123,0.002247,0.000065,0.000000,0.032169,1.050000,-0.030000,1621681920597644158
38,-0.088339,-0.027717,0.002094,0.015359,0,-0.861574,-0.017491,-0.000122,0.002451,0.000124,0.000000,0.032169,1.090000,-0.030000,1621681920614673623
39,-0.091643,-0.038492,0.001396,-0.002967,0,-0.957097,-0.018145,-0.000169,0.001634,-0.000024,0.000000,0.032169,1.080000,-0.040000,1621681920635081333
40,-0.090531,-0.038042,0.001920,0.014835,0,-0.900999,-0.017925,-0.000167,0.002247,0.000120,0.000000,0.032169,1.020000,-0.040000,1621681920657744107
41,-0.090170,-0.038003,0.001920,0.000698,0,-0.903452,-0.017854,-0.000167,0.002247,0.000006,0.000000,0.032169,1.040000,-0.040000,1621681920674096317
42,-0.089452,-0.037708,0.002269,0.007330,0,-0.868749,-0.017712,-0.000166,0.002656,0.000059,0.000000,0.032169,1.010000,-0.040000,1621681920704334661
43,-0.089095,-0.037686,0.002269,-0.002094,0,-0.869062,-0.017641,-0.000166,0.002656,-0.000017,0.000000,0.032169,1.020000,-0.040000,1621681920716623179
44,-0.088396,-0.037434,0.002618,0.004712,0,-0.834510,-0.017503,-0.000165,0.003064,0.000038,0.000000,0.032169,0.980000,-0.040000,1621681920738809020
45,-0.091551,-0.038803,0.001222,0.002443,0,-0.965324,-0.018127,-0.000171,0.001430,0.000020,0.000000,0.032169,0.980000,-0.040000,1621681920754458246
46,-0.090497,-0.038290,0.001745,0.006807,0,-0.916107,-0.017918,-0.000168,0.002043,0.000055,0.000000,0.032169,0.980000,-0.040000,1621681920775718541
47,-0.090155,-0.038220,0.001745,0.004189,0,-0.913426,-0.017851,-0.000168,0.002043,0.000034,0.000000,0.032169,1.020000,-0.040000,1621681920796012777
48,-0.089130,-0.038220,0.001745,0.009250,0,-0.899441,-0.017648,-0.000168,0.002043,0.000075,0.000000,0.032169,1.020000,-0.040000,1621681920815349787
49,-0.088788,-0.038237,0.001745,0.004712,0,-0.897673,-0.017580,-0.000168,0.002043,0.000038,0.000000,0.032169,1.010000,-0.040000,1621681920834840879
50,-0.091514,-0.040000,-0.000000,0.010996,0,-1.043166,-0.018120,-0.000176,-0.000000,0.000089,0.000000,0.032169,0.980000,-0.040000,1621681920855254765
51,-0.090829,-0.039822,0.000175,0.007679,0,-1.025182,-0.017984,-0.000175,0.000204,0.000062,0.000000,0.032169,1.020000,-0.040000,1621681920876831991
52,-0.090491,-0.039825,0.000175,0.002793,0,-1.023616,-0.017917,-0.000175,0.000204,0.000023,0.000000,0.032169,1.000000,-0.040000,1621681920894371862
53,-0.089477,-0.039818,0.000175,0.008378,0,-1.009519,-0.017716,-0.000175,0.000204,0.000068,0.000000,0.032169,1.040000,-0.040000,1621681920917143405
54,-0.089143,-0.039654,0.000349,0.002094,0,-0.996904,-0.017650,-0.000174,0.000409,0.000017,0.000000,0.032169,0.990000,-0.040000,1621681920935235346
55,-0.091505,-0.040503,-0.000524,-0.003665,0,-1.085104,-0.018118,-0.000178,-0.000613,-0.000030,0.000000,0.032169,0.960000,-0.040000,1621681920957289345
56,-0.091167,-0.040476,-0.000524,-0.011868,0,-1.085070,-0.018051,-0.000178,-0.000613,-0.000096,0.000000,0.032169,0.910000,-0.040000,1621681920976749461
57,-0.090491,-0.040482,-0.000524,-0.001920,0,-1.072785,-0.017917,-0.000178,-0.000613,-0.000016,0.000000,0.032169,0.920000,-0.040000,1621681920995932517
58,-0.090153,-0.040487,-0.000524,0.002618,0,-1.066846,-0.017850,-0.000178,-0.000613,0.000021,0.000000,0.032169,0.930000,-0.040000,1621681921016306946
59,-0.089134,-0.030670,-0.000698,0.003840,0,-1.063954,-0.017649,-0.000135,-0.000817,0.000031,0.000000,0.032169,0.960000,-0.030000,1621681921037326311
60,-0.089134,-0.030677,-0.000698,-0.005411,0,-1.068249,-0.017649,-0.000135,-0.000817,-0.000044,0.000000,0.032169,0.970000,-0.030000,1621681921058663758
61,-0.091523,-0.043316,-0.003316,0.015708,0,-1.264296,-0.018122,-0.000191,-0.003881,0.000127,0.000000,0.032169,1.000000,-0.040000,1621681921076426767
62,-0.091188,-0.043421,-0.003491,0.009425,0,-1.275146,-0.018055,-0.000191,-0.004085,0.000076,0.000000,0.032169,0.980000,-0.040000,1621681921094648725
63,-0.090160,-0.043763,-0.003840,0.012915,0,-1.285351,-0.017852,-0.000193,-0.004494,0.000105,0.000000,0.032169,0.980000,-0.040000,1621681921117724592
64,-0.089812,-0.043894,-0.004014,0.005934,0,-1.296378,-0.017783,-0.000193,-0.004698,0.000048,0.000000,0.032169,0.970000,-0.040000,1621681921135725172
