frame,e_y,e_y_dot,e_phi,e_phi_dot,index,u1/deg,u1_0,u1_1,u1_2,u1_3,u2,curvature,v_x,v_y,timestamp
1,-0.158815,0.072685,0.061261,-0.001571,0,3.233107,-0.022139,0.000465,0.078120,-0.000018,0.000000,0.000000,0.860000,0.020000,1621685593638759537
2,-0.159460,0.075449,0.061610,-0.004712,0,3.252402,-0.022229,0.000483,0.078565,-0.000054,0.000000,0.000000,0.900000,0.020000,1621685593655100733
3,-0.143512,0.078078,0.061785,0.003665,0,3.399019,-0.020006,0.000500,0.078788,0.000042,0.000000,0.000000,0.940000,0.020000,1621685593674460719
4,-0.144178,0.080994,0.061610,0.000524,0,3.379950,-0.020098,0.000518,0.078565,0.000006,0.000000,0.000000,0.990000,0.020000,1621685593695226984
5,-0.154484,0.082579,0.061959,0.003840,0,3.325904,-0.021535,0.000529,0.079010,0.000044,0.000000,0.000000,1.010000,0.020000,1621685593714025104
6,-0.155170,0.084357,0.062483,0.008203,0,3.362205,-0.021631,0.000540,0.079678,0.000094,0.000000,0.000000,1.030000,0.020000,1621685593735257910
7,-0.150379,0.082380,0.060563,0.012217,0,3.262119,-0.020963,0.000527,0.077230,0.000140,0.000000,0.000000,1.030000,0.020000,1621685593756650102
8,-0.151773,0.083827,0.060214,0.011345,0,3.225440,-0.021157,0.000536,0.076785,0.000130,0.000000,0.000000,1.060000,0.020000,1621685593774603361
9,-0.151787,0.083087,0.059516,0.011345,0,3.174046,-0.021159,0.000532,0.075894,0.000130,0.000000,0.000000,1.060000,0.020000,1621685593793555075
10,-0.144851,0.089816,0.058643,0.007156,0,3.165391,-0.020192,0.000575,0.074782,0.000082,0.000000,0.000000,1.020000,0.030000,1621685593814121988
11,-0.146226,0.088921,0.059516,0.009425,0,3.219337,-0.020384,0.000569,0.075894,0.000108,0.000000,0.000000,0.990000,0.030000,1621685593833728428
12,-0.140727,0.087072,0.057072,0.014661,0,3.087500,-0.019617,0.000557,0.072779,0.000169,0.000000,0.000000,1.000000,0.030000,1621685593854567714
13,-0.142077,0.081025,0.058119,0.016755,0,3.152394,-0.019806,0.000519,0.074114,0.000193,0.000000,0.000000,1.050000,0.020000,1621685593875148514
14,-0.143470,0.086658,0.059516,0.005934,0,3.238220,-0.020000,0.000555,0.075894,0.000068,0.000000,0.000000,1.120000,0.020000,1621685593895216184
15,-0.144189,0.087440,0.060214,0.013439,0,3.288713,-0.020100,0.000560,0.076785,0.000155,0.000000,0.000000,1.120000,0.020000,1621685593915699004
16,-0.145646,0.087635,0.060388,0.005934,0,3.284959,-0.020303,0.000561,0.077007,0.000068,0.000000,0.000000,1.120000,0.020000,1621685593934982673
17,-0.147110,0.079957,0.060563,0.013439,0,3.288146,-0.020507,0.000512,0.077230,0.000155,0.000000,0.000000,0.990000,0.020000,1621685593955892324
18,-0.141285,0.081661,0.059865,0.013788,0,3.284518,-0.019695,0.000523,0.076340,0.000159,0.000000,0.000000,1.030000,0.020000,1621685593977340194
19,-0.133050,0.082078,0.059690,0.007330,0,3.333436,-0.018547,0.000525,0.076117,0.000084,0.000000,0.000000,1.040000,0.020000,1621685593994966553
20,-0.143471,0.076043,0.058992,0.015708,0,3.202499,-0.020000,0.000487,0.075227,0.000181,0.000000,0.000000,0.950000,0.020000,1621685594016262203
