frame,e_y,e_y_dot,e_phi,e_phi_dot,index,u1/deg,u1_0,u1_1,u1_2,u1_3,u2,curvature,v_x,v_y,timestamp
1,0.216014,0.032220,0.027925,0.003491,0,4.164215,0.029745,0.000409,0.042458,0.000067,0.000000,0.000000,1.870000,-0.020000,1621684548261990905
2,0.215119,0.029428,0.027925,0.005236,0,4.157052,0.029622,0.000374,0.042458,0.000101,0.000000,0.000000,1.770000,-0.020000,1621684548282775977
3,0.215502,0.027679,0.027402,0.001396,0,4.108946,0.029675,0.000352,0.041661,0.000027,0.000000,0.000000,1.740000,-0.020000,1621684548301905282
4,0.215638,0.027103,0.027227,-0.001396,0,4.091304,0.029693,0.000344,0.041396,-0.000027,0.000000,0.000000,1.730000,-0.020000,1621684548322263099
5,0.216337,0.015448,0.027053,-0.010821,0,4.062712,0.029790,0.000196,0.041131,-0.000209,0.000000,0.000000,1.680000,-0.030000,1621684548342520491
6,0.215353,0.015630,0.026529,0.010821,0,4.033404,0.029654,0.000198,0.040335,0.000209,0.000000,0.000000,1.720000,-0.030000,1621684548364579772
7,0.215780,0.017438,0.026354,0.000175,0,4.011111,0.029713,0.000221,0.040069,0.000003,0.000000,0.000000,1.800000,-0.030000,1621684548382197159
8,0.216337,0.024595,0.026704,0.001920,0,4.053048,0.029790,0.000312,0.040600,0.000037,0.000000,0.000000,1.670000,-0.020000,1621684548403278319
9,0.215366,0.026632,0.025482,-0.002793,0,3.935235,0.029656,0.000338,0.038743,-0.000054,0.000000,0.000000,1.830000,-0.020000,1621684548423718244
10,0.215771,0.017529,0.025831,-0.004014,0,3.960863,0.029712,0.000223,0.039273,-0.000077,0.000000,0.000000,1.840000,-0.030000,1621684548454955319
11,0.215771,0.017529,0.025831,-0.004014,0,3.960863,0.029712,0.000223,0.039273,-0.000077,0.000000,0.000000,1.840000,-0.030000,1621684548465334277
12,0.215384,0.021004,0.026704,0.001222,0,4.042143,0.029658,0.000267,0.040600,0.000024,0.000000,0.000000,1.910000,-0.030000,1621684548481319467
13,0.215765,0.020859,0.027053,-0.004363,0,4.069281,0.029711,0.000265,0.041131,-0.000084,0.000000,0.000000,1.880000,-0.030000,1621684548501410817
14,0.215998,0.019913,0.027576,0.003665,0,4.124916,0.029743,0.000253,0.041927,0.000071,0.000000,0.000000,1.810000,-0.030000,1621684548522458289
15,0.215409,0.031918,0.026354,0.005760,0,4.024899,0.029662,0.000405,0.040069,0.000111,0.000000,0.000000,1.970000,-0.020000,1621684548541415436
16,0.215758,0.028548,0.026529,0.004887,0,4.039432,0.029710,0.000363,0.040335,0.000094,0.000000,0.000000,1.830000,-0.020000,1621684548561079852
17,0.216101,0.028283,0.026529,0.016406,0,4.054690,0.029757,0.000359,0.040335,0.000317,0.000000,0.000000,1.820000,-0.020000,1621684548583243945
18,0.215299,0.028161,0.025482,0.009076,0,3.948941,0.029647,0.000358,0.038743,0.000175,0.000000,0.032169,1.890000,-0.020000,1621684548603960904
19,0.215642,0.024736,0.025133,0.026180,0,3.937662,0.029694,0.000314,0.038212,0.000505,0.000000,0.032169,1.780000,-0.020000,1621684548622439142
20,0.216131,0.012380,0.024784,0.023736,0,3.899417,0.029761,0.000157,0.037681,0.000458,0.000000,0.032169,1.710000,-0.030000,1621684548643603307
21,0.215249,0.009525,0.023387,0.028798,0,3.774347,0.029640,0.000121,0.035558,0.000556,0.000000,0.032169,1.690000,-0.030000,1621684548664887943
22,0.215638,0.005849,0.022689,0.030892,0,3.716239,0.029693,0.000074,0.034497,0.000596,0.000000,0.032169,1.580000,-0.030000,1621684548681792779
23,0.216078,0.005125,0.021817,0.043633,0,3.657257,0.029754,0.000065,0.033170,0.000842,0.000000,0.032169,1.610000,-0.030000,1621684548703014297
24,0.214995,0.003519,0.020071,0.041713,0,3.493379,0.029605,0.000045,0.030516,0.000805,0.000000,0.032169,1.670000,-0.030000,1621684548722577903
25,0.215628,0.013364,0.018850,0.069813,0,3.430184,0.029692,0.000170,0.028659,0.001347,0.000000,0.032169,1.770000,-0.020000,1621684548743597130
26,0.216189,0.012289,0.017453,0.054629,0,3.295401,0.029769,0.000156,0.026536,0.001054,0.000000,0.032169,1.850000,-0.020000,1621684548763851703
27,0.215013,0.006763,0.014312,0.072955,0,3.028694,0.029607,0.000086,0.021760,0.001408,0.000000,0.032169,1.870000,-0.020000,1621684548783260508
28,0.215613,-0.005848,0.012915,0.073129,0,2.902816,0.029690,-0.000074,0.019637,0.001411,0.000000,0.032169,1.870000,-0.030000,1621684548805045093
29,0.216547,-0.008218,0.011345,0.085347,0,2.785129,0.029818,-0.000104,0.017248,0.001647,0.000000,0.032169,1.920000,-0.030000,1621684548823935760
30,0.205851,-0.015255,0.007679,0.079587,0,2.369973,0.028346,-0.000194,0.011676,0.001536,0.000000,0.032169,1.920000,-0.030000,1621684548844711802
31,0.197898,-0.019057,0.005760,0.088837,0,2.147447,0.027251,-0.000242,0.008757,0.001715,0.000000,0.032169,1.900000,-0.030000,1621684548870148265
32,0.189819,-0.022705,0.003840,0.080983,0,1.905122,0.026138,-0.000288,0.005838,0.001563,0.000000,0.032169,1.900000,-0.030000,1621684548881194654
33,0.187658,-0.028000,0.001047,0.081507,0,1.641531,0.025840,-0.000356,0.001592,0.001573,0.000000,0.032169,1.910000,-0.030000,1621684548903747543
34,0.188952,-0.032346,-0.001222,0.072955,0,1.441473,0.026019,-0.000411,-0.001858,0.001408,0.000000,0.032169,1.920000,-0.030000,1621684548923982550
35,0.181090,-0.026500,-0.003316,0.074526,0,1.202981,0.024936,-0.000337,-0.005042,0.001438,0.000000,0.032169,1.960000,-0.020000,1621684548945007477
36,0.178821,-0.034514,-0.007679,0.084474,0,0.810149,0.024624,-0.000438,-0.011676,0.001630,0.000000,0.032169,1.890000,-0.020000,1621684548963716892
37,0.171021,-0.038239,-0.009599,0.082030,0,0.575960,0.023550,-0.000486,-0.014595,0.001583,0.000000,0.032169,1.900000,-0.020000,1621684548984122904
38,0.172343,-0.052075,-0.011868,0.078191,0,0.374421,0.023732,-0.000661,-0.018044,0.001509,0.000000,0.032169,1.860000,-0.030000,1621684549002898127
39,0.169185,-0.062638,-0.017453,0.080809,0,-0.141811,0.023297,-0.000795,-0.026536,0.001560,0.000000,0.032169,1.870000,-0.030000,1621684549021772861
40,0.162072,-0.055065,-0.019373,0.073827,0,-0.367382,0.022317,-0.000699,-0.029455,0.001425,0.000000,0.032169,1.810000,-0.020000,1621684549042902713
41,0.163594,-0.057169,-0.021118,0.067195,0,-0.516280,0.022527,-0.000726,-0.032109,0.001297,0.000000,0.032169,1.760000,-0.020000,1621684549062678735
