frame,e_y,e_y_dot,e_phi,e_phi_dot,timestamp
1,0.340722,-0.009499,-0.034208,-0.010472,1620812670627528256
2,0.341150,-0.010286,-0.034383,-0.002967,1620812670648439296
3,0.340501,-0.012349,-0.034383,-0.004014,1620812670672845792
4,0.341020,-0.011881,-0.034732,0.004538,1620812670690528896
5,0.350600,-0.013269,-0.035256,0.000349,1620812670708533728
6,0.342454,-0.013855,-0.035605,0.007679,1620812670729681632
7,0.347860,-0.014412,-0.034383,0.009948,1620812670748617856
8,0.346712,-0.015866,-0.034034,0.010996,1620812670770306336
9,0.334126,-0.013173,-0.032638,0.008901,1620812670790894432
10,0.340352,-0.011797,-0.031590,0.018500,1620812670806924512
11,0.328230,-0.010043,-0.030369,0.012043,1620812670830798208
12,0.325116,-0.007780,-0.029147,0.016406,1620812670847803072
13,0.322178,-0.007141,-0.028100,0.009948,1620812670867759520
14,0.320574,-0.006167,-0.027402,0.009948,1620812670886586496
15,0.318492,-0.003619,-0.026704,0.009948,1620812670907040064
16,0.316506,-0.004724,-0.025831,0.012043,1620812670930810048
17,0.315091,-0.002654,-0.025307,0.009948,1620812670946360000
18,0.311928,-0.001956,-0.023911,0.007679,1620812670969453152
19,0.311121,-0.001868,-0.023736,0.000175,1620812670987027872
20,0.310729,-0.000603,-0.023562,0.003316,1620812671006890944
21,0.310503,-0.002818,-0.023736,-0.001920,1620812671030251968
22,0.311064,-0.003970,-0.024086,-0.004189,1620812671046919072
23,0.311448,-0.004071,-0.024260,-0.008378,1620812671068818240
24,0.311784,-0.005258,-0.024609,-0.005061,1620812671091480320
25,0.312164,-0.004870,-0.024784,-0.004014,1620812671107264224
26,0.312105,-0.006972,-0.024958,0.005585,1620812671129713888
27,0.311885,-0.005474,-0.024958,-0.007156,1620812671147253600
28,0.311294,-0.005862,-0.024784,0.010821,1620812671167015168
29,0.311446,-0.004975,-0.024958,-0.008203,1620812671188827264
30,0.321456,-0.005137,-0.025656,0.008901,1620812671207441888
31,0.312838,-0.004207,-0.025831,-0.001745,1620812671232067872
32,0.319552,-0.005724,-0.024958,0.004712,1620812671246629152
33,0.318972,-0.005614,-0.024784,0.011170,1620812671272848384
34,0.307261,-0.005080,-0.023562,0.011170,1620812671287759296
35,0.314259,-0.005656,-0.022689,0.024958,1620812671306951008
36,0.303307,-0.002435,-0.021817,0.018500,1620812671335911680
37,0.300652,-0.003387,-0.020595,0.023736,1620812671346844992
38,0.297867,-0.003367,-0.019373,0.031067,1620812671369060352
39,0.295075,-0.002584,-0.017977,0.018151,1620812671387751168
40,0.292590,-0.002020,-0.016930,0.038048,1620812671407420448
41,0.290186,-0.000210,-0.015708,0.022340,1620812671429300448
42,0.288704,0.001745,-0.015010,0.033859,1620812671448452480
43,0.285110,0.000317,-0.013265,0.031765,1620812671469199360
44,0.283596,0.000324,-0.012566,0.036128,1620812671487386176
45,0.279143,0.001659,-0.010297,0.037176,1620812671507385216
46,0.268460,0.002460,-0.009425,0.029147,1620812671529673472
47,0.265448,-0.005890,-0.007854,0.036652,1620812671547011232
48,0.264452,-0.005498,-0.007330,0.029147,1620812671571028480
49,0.261216,0.005811,-0.005585,0.030369,1620812671593485344
50,0.260268,0.006457,-0.005061,0.034383,1620812671606985472
51,0.256515,0.007834,-0.002967,0.041888,1620812671630477280
52,0.254675,0.008694,-0.001920,0.042062,1620812671648279264
53,0.240541,0.010702,0.001047,0.046077,1620812671669456768
54,0.238779,0.001236,0.002094,0.046251,1620812671690175360
55,0.233213,0.002651,0.005411,0.047473,1620812671705141760
56,0.231234,0.003979,0.006632,0.053407,1620812671730150464
57,0.226172,0.006158,0.009774,0.055676,1620812671747681920
58,0.224396,0.007467,0.010821,0.052709,1620812671769074368
59,0.219999,0.009652,0.013788,0.063181,1620812671788219744
60,0.216750,0.011594,0.015882,0.058818,1620812671807651584
61,0.213521,0.023977,0.018151,0.062134,1620812671832114752
62,0.200558,0.027031,0.020769,0.062134,1620812671847645216
63,0.196995,0.029792,0.023562,0.062308,1620812671870448992
64,0.193739,0.033506,0.025831,0.058992,1620812671888980192
65,0.190633,0.035447,0.028274,0.067370,1620812671908256832
66,0.177985,0.037494,0.030892,0.067370,1620812671937332512
67,0.165826,0.040494,0.033510,0.069290,1620812671949155840
68,0.162303,0.043238,0.036128,0.070162,1620812671966422240
69,0.160669,0.044898,0.037525,0.072431,1620812671988170400
70,0.146976,0.049211,0.041713,0.075573,1620812672008213888
71,0.143987,0.051836,0.044506,0.080809,1620812672029229280
72,0.139699,0.052726,0.047473,0.082903,1620812672046289856
73,0.138884,0.055448,0.048869,0.091455,1620812672075540928
74,0.115789,0.065543,0.053407,0.102102,1620812672087931776
75,0.114258,0.062779,0.054978,0.101229,1620812672108231328
76,0.100435,0.072234,0.060039,0.108734,1620812672130173312
77,0.098578,0.085677,0.061959,0.113970,1620812672145937760
78,0.084070,0.094004,0.067893,0.123744,1620812672172003840
79,0.072971,0.092969,0.070162,0.129154,1620812672188657536
80,0.065499,0.098864,0.077318,0.131249,1620812672207859104
81,0.063319,0.102952,0.079762,0.134739,1620812672236816832
82,0.048371,0.119086,0.086917,0.141372,1620812672249915712
83,0.046407,0.124552,0.089361,0.147655,1620812672274058944
84,0.032313,0.128867,0.096342,0.146782,1620812672287157408
85,0.018337,0.137831,0.101578,0.146608,1620812672306033792
86,0.007974,0.163486,0.105941,0.151669,1620812672327924992
87,0.005059,0.163720,0.109607,0.156207,1620812672347018752
88,-0.021911,0.171590,0.113272,0.161443,1620812672366467168
89,-0.024571,0.182018,0.116937,0.162490,1620812672389957824
90,-0.032629,0.177166,0.118682,0.162316,1620812672407699616
91,-0.044593,0.192849,0.124267,0.163712,1620812672428569056
92,-0.052577,0.206567,0.126187,0.171915,1620812672448830624
93,-0.064451,0.210437,0.132121,0.171042,1620812672469611872
94,-0.072161,0.206211,0.134041,0.177675,1620812672487910528
95,-0.075012,0.216809,0.140324,0.189368,1620812672508300800
96,-0.093129,0.237993,0.142419,0.186227,1620812672529739744
97,-0.103052,0.237804,0.149051,0.193557,1620812672546659072
98,-0.112226,0.231584,0.151320,0.194604,1620812672567808480
99,-0.121526,0.266918,0.157952,0.198968,1620812672586379744
100,-0.123518,0.267987,0.162490,0.194604,1620812672606199584
101,-0.139296,0.243731,0.167028,0.209614,1620812672629718944
102,-0.149953,0.255784,0.171740,0.201935,1620812672647396000
103,-0.174009,0.290348,0.176278,0.196524,1620812672671726784
104,-0.175347,0.328567,0.180816,0.206298,1620812672692839200
105,-0.185911,0.379833,0.185528,0.206298,1620812672705689984
106,-0.185911,0.379833,0.185528,0.206298,1620812672730562624
107,-0.217137,0.430368,0.192510,0.176104,1620812672745439040
108,-0.223203,0.485894,0.198968,0.178373,1620812672770763552
109,-0.237469,0.486145,0.201062,0.197571,1620812672786925728
110,-0.247010,0.549389,0.207694,0.189194,1620812672807234304
111,-0.256933,0.516723,0.209963,0.174184,1620812672826705280
112,-0.265234,0.543384,0.215897,0.176104,1620812672848452928
113,-0.272383,0.567019,0.217817,0.168773,1620812672867263424
