frame,pgsnh,gpsnl,gpseh,gpsel,heading_angle,yaw_rate,gps_state,gps_velocity,acceleration_forward,acceleration_lateral,acceleration_down,pitch_angle,velocity_down,velocity_lateral,velocity_forward,roll_angle
1,36,0.177025,120,0.48818,87.24,0,4,0.57,-1.934,5.526,4.157,0.91,-1.79,0.02,0.54,2.19
2,36,0.177025,120,0.48818,87.23,0.03,4,0.57,-5.032,8.634,-17.974,0.91,-2.03,0.02,0.57,2.15
3,36,0.177025,120,0.48818,87.23,0.03,4,0.57,-5.032,8.634,-17.974,0.91,-2.03,0.02,0.57,2.15
4,36,0.177025,120,0.48818,87.21,0.39,4,0.57,-9.435,12.831,-8.678,0.95,-1.93,0.02,0.56,2.14
5,36,0.177025,120,0.48818,87.21,0.39,4,0.57,-9.435,12.831,-8.678,0.95,-1.93,0.02,0.56,2.14
6,36,0.177025,120,0.48818,87.21,0.13,4,0.58,3.487,-2.831,-18.544,0.99,-2.08,0.02,0.53,2.1
7,36,0.177025,120,0.48818,87.21,0.13,4,0.58,3.487,-2.831,-18.544,0.99,-2.08,0.02,0.53,2.1
8,36,0.177025,120,0.48818,87.21,0.47,4,0.58,10.104,-13.804,-19.056,1.02,-2.07,0.02,0.64,2.06
9,36,0.177025,120,0.48818,87.21,0.47,4,0.58,10.104,-13.804,-19.056,1.02,-2.07,0.02,0.64,2.06
10,36,0.177025,120,0.488181,87.23,0.12,4,0.58,-2.291,-1.327,-18.386,1.01,-2.04,0.02,0.55,2.08
11,36,0.177025,120,0.488181,87.23,0.12,4,0.58,-2.291,-1.327,-18.386,1.01,-2.04,0.02,0.55,2.08
12,36,0.177025,120,0.488181,87.23,0.18,4,0.57,6.976,-10.877,-18.891,1,-2.06,0.02,0.62,2.06
13,36,0.177025,120,0.488181,87.24,0.77,4,0.57,-2.425,4.32,-18.176,1.02,-2.12,0.02,0.59,2.12
14,36,0.177025,120,0.488181,87.24,0.77,4,0.57,-2.425,4.32,-18.176,1.02,-2.12,0.02,0.59,2.12
15,36,0.177025,120,0.488181,87.26,0.11,4,0.57,-1.509,-2.939,-18.456,1.14,-2.28,0.02,0.62,2.08
16,36,0.177025,120,0.488181,87.26,0.11,4,0.57,-1.509,-2.939,-18.456,1.14,-2.28,0.02,0.62,2.08
17,36,0.177025,120,0.488181,87.26,0.44,4,0.6,-5.842,1.362,9.761,1.08,-2.15,0.02,0.65,2.13
18,36,0.177025,120,0.488181,87.26,0.44,4,0.6,-5.842,1.362,9.761,1.08,-2.15,0.02,0.65,2.13
19,36,0.177025,120,0.488181,87.26,0.44,4,0.6,-5.842,1.362,9.761,1.08,-2.15,0.02,0.65,2.13
20,36,0.177026,120,0.488181,87.27,0.17,4,0.6,-1.772,2.823,-18.241,1.07,-2.11,0.02,0.59,2.08
21,36,0.177026,120,0.488181,87.27,0.17,4,0.6,-1.772,2.823,-18.241,1.07,-2.11,0.02,0.59,2.08
22,36,0.177026,120,0.488181,87.28,0.27,4,0.58,7.167,-10.698,9.738,1.04,-1.84,0.02,0.65,2.14
23,36,0.177026,120,0.488181,87.28,0.27,4,0.58,7.167,-10.698,9.738,1.04,-1.84,0.02,0.65,2.14
