frame,pgsnh,gpsnl,gpseh,gpsel,heading_angle,yaw_rate,gps_state,gps_velocity,acceleration_forward,acceleration_lateral,acceleration_down,pitch_angle,velocity_down,velocity_lateral,velocity_forward,roll_angle,timestamp
1,36.000000,0.177730,120.000000,0.487751,176.600000,-0.060000,4.000000,0.970000,-1.450000,-4.341000,-13.529000,-0.200000,-3.150000,0.020000,0.860000,0.110000,1621685593624333944
2,36.000000,0.177730,120.000000,0.487751,176.580000,-0.240000,4.000000,0.970000,0.321000,0.007000,-2.367000,-0.200000,-3.110000,0.020000,0.900000,0.070000,1621685593644340272
3,36.000000,0.177730,120.000000,0.487751,176.570000,0.240000,4.000000,1.010000,2.187000,1.697000,-11.624000,-0.230000,-3.140000,0.020000,0.940000,0.060000,1621685593664288810
4,36.000000,0.177730,120.000000,0.487751,176.580000,0.060000,4.000000,1.010000,0.891000,-6.790000,-15.327000,-0.260000,-3.220000,0.020000,0.990000,0.090000,1621685593684277986
5,36.000000,0.177730,120.000000,0.487751,176.560000,0.250000,4.000000,1.040000,-0.421000,4.074000,-3.612000,-0.360000,-3.270000,0.020000,1.010000,0.030000,1621685593704285402
6,36.000000,0.177730,120.000000,0.487751,176.530000,0.500000,4.000000,1.040000,1.137000,4.639000,-2.123000,-0.390000,-3.130000,0.020000,1.030000,0.050000,1621685593724383630
7,36.000000,0.177729,120.000000,0.487751,176.430000,0.380000,4.000000,1.020000,1.510000,6.275000,-6.679000,-0.470000,-3.230000,0.020000,1.030000,0.040000,1621685593744580030
8,36.000000,0.177729,120.000000,0.487751,176.450000,0.330000,4.000000,1.020000,2.503000,-2.669000,-18.032000,-0.490000,-3.280000,0.020000,1.060000,0.070000,1621685593764262402
9,36.000000,0.177729,120.000000,0.487751,176.490000,0.330000,4.000000,1.020000,-1.840000,-3.941000,-17.727000,-0.530000,-3.200000,0.020000,1.060000,0.040000,1621685593784275578
10,36.000000,0.177729,120.000000,0.487751,176.540000,0.090000,4.000000,1.000000,-1.427000,-6.504000,-17.455000,-0.570000,-3.280000,0.030000,1.020000,0.060000,1621685593804388013
11,36.000000,0.177729,120.000000,0.487751,176.490000,0.220000,4.000000,1.000000,-3.533000,5.248000,-3.073000,-0.570000,-3.210000,0.030000,0.990000,0.040000,1621685593824328712
12,36.000000,0.177728,120.000000,0.487751,176.440000,0.290000,4.000000,1.000000,3.086000,-1.811000,-20.031000,-0.530000,-3.250000,0.030000,1.000000,0.070000,1621685593844477242
13,36.000000,0.177728,120.000000,0.487751,176.380000,0.410000,4.000000,0.950000,8.617000,7.078000,-3.862000,-0.480000,-3.190000,0.020000,1.050000,0.080000,1621685593864396917
14,36.000000,0.177728,120.000000,0.487751,176.300000,-0.210000,4.000000,0.950000,7.418000,-11.174000,-11.530000,-0.440000,-3.150000,0.020000,1.120000,0.050000,1621685593884596229
15,36.000000,0.177728,120.000000,0.487751,176.260000,0.220000,4.000000,0.930000,1.091000,4.039000,-3.341000,-0.400000,-3.090000,0.020000,1.120000,0.060000,1621685593904331111
16,36.000000,0.177728,120.000000,0.487751,176.250000,-0.210000,4.000000,0.930000,6.862000,1.295000,1.421000,-0.390000,-3.050000,0.020000,1.120000,0.070000,1621685593924420380
17,36.000000,0.177727,120.000000,0.487751,176.240000,0.220000,4.000000,0.930000,-8.419000,0.686000,-7.502000,-0.440000,-3.020000,0.020000,0.990000,0.080000,1621685593944431379
18,36.000000,0.177727,120.000000,0.487751,176.260000,0.080000,4.000000,0.960000,-3.581000,5.637000,-12.102000,-0.450000,-3.100000,0.020000,1.030000,0.060000,1621685593964335695
19,36.000000,0.177727,120.000000,0.487752,176.270000,-0.290000,4.000000,0.960000,1.190000,-3.873000,-6.199000,-0.440000,-3.050000,0.020000,1.040000,0.050000,1621685593984364390
20,36.000000,0.177727,120.000000,0.487751,176.310000,0.190000,4.000000,1.010000,-1.817000,1.401000,-12.458000,-0.420000,-3.130000,0.020000,0.950000,0.040000,1621685594004247010
21,36.000000,0.177727,120.000000,0.487751,176.350000,0.190000,4.000000,1.010000,-4.344000,1.899000,-8.135000,-0.420000,-3.180000,0.030000,0.960000,0.030000,1621685594024305461
22,36.000000,0.177727,120.000000,0.487752,176.490000,0.670000,4.000000,1.040000,1.994000,5.686000,-2.160000,-0.450000,-3.040000,0.030000,0.960000,-0.010000,1621685594044276107
23,36.000000,0.177726,120.000000,0.487752,176.470000,0.560000,4.000000,1.040000,0.412000,3.466000,-18.807000,-0.440000,-3.150000,0.030000,0.990000,0.010000,1621685594064278560
24,36.000000,0.177726,120.000000,0.487752,176.420000,1.060000,4.000000,1.040000,-3.954000,-0.378000,-5.217000,-0.420000,-3.150000,0.030000,0.950000,-0.060000,1621685594084307316
25,36.000000,0.177726,120.000000,0.487752,176.400000,1.060000,4.000000,1.020000,1.307000,-3.103000,-8.341000,-0.440000,-3.090000,0.030000,0.940000,-0.110000,1621685594104234988
26,36.000000,0.177726,120.000000,0.487752,176.480000,1.380000,4.000000,1.020000,2.724000,3.193000,-12.597000,-0.490000,-3.140000,0.030000,0.920000,-0.060000,1621685594124204291
27,36.000000,0.177726,120.000000,0.487752,176.510000,1.450000,4.000000,1.020000,3.385000,4.475000,-6.350000,-0.510000,-3.140000,0.030000,0.990000,-0.110000,1621685594145153522
28,36.000000,0.177725,120.000000,0.487752,176.610000,1.570000,4.000000,1.020000,5.302000,1.425000,-11.033000,-0.550000,-3.100000,0.030000,0.970000,-0.150000,1621685594164390726
29,36.000000,0.177725,120.000000,0.487752,176.640000,1.640000,4.000000,1.020000,-2.642000,-4.591000,-20.074000,-0.560000,-3.210000,0.030000,1.000000,-0.110000,1621685594184312798
30,36.000000,0.177725,120.000000,0.487752,176.750000,1.880000,4.000000,0.970000,3.265000,0.405000,-1.609000,-0.590000,-3.130000,0.030000,0.980000,-0.200000,1621685594204406448
31,36.000000,0.177725,120.000000,0.487752,176.790000,1.700000,4.000000,0.970000,3.012000,-3.180000,-20.015000,-0.600000,-3.150000,0.030000,1.020000,-0.200000,1621685594224325256
32,36.000000,0.177725,120.000000,0.487752,176.850000,1.820000,4.000000,0.970000,10.049000,13.523000,-2.418000,-0.610000,-3.080000,0.030000,1.090000,-0.220000,1621685594244407674
33,36.000000,0.177725,120.000000,0.487752,177.000000,1.940000,4.000000,0.960000,5.122000,-11.723000,-18.489000,-0.610000,-3.130000,0.030000,1.050000,-0.230000,1621685594264240406
34,36.000000,0.177725,120.000000,0.487752,177.220000,1.940000,4.000000,0.960000,-0.553000,-6.907000,-20.034000,-0.600000,-3.020000,0.030000,1.130000,-0.250000,1621685594284318344
35,36.000000,0.177724,120.000000,0.487752,177.440000,1.560000,4.000000,0.960000,4.339000,-13.627000,-11.169000,-0.610000,-3.040000,0.030000,1.160000,-0.260000,1621685594304201826
36,36.000000,0.177724,120.000000,0.487752,177.630000,1.680000,4.000000,0.960000,-3.686000,9.239000,3.165000,-0.620000,-2.920000,0.030000,1.120000,-0.320000,1621685594324254389
37,36.000000,0.177724,120.000000,0.487752,177.730000,2.040000,4.000000,0.960000,5.902000,-1.942000,-11.849000,-0.620000,-2.940000,0.030000,1.120000,-0.310000,1621685594344820083
38,36.000000,0.177724,120.000000,0.487752,178.030000,1.360000,4.000000,1.030000,-4.709000,9.985000,0.514000,-0.610000,-2.840000,0.030000,1.070000,-0.320000,1621685594364357243
39,36.000000,0.177723,120.000000,0.487752,178.300000,1.350000,4.000000,1.030000,-4.099000,0.265000,-12.153000,-0.610000,-2.850000,0.030000,1.010000,-0.320000,1621685594384306994
40,36.000000,0.177723,120.000000,0.487752,178.390000,1.290000,4.000000,1.030000,-0.628000,4.649000,2.640000,-0.610000,-2.740000,0.030000,1.010000,-0.360000,1621685594404382628
41,36.000000,0.177723,120.000000,0.487752,178.470000,1.420000,4.000000,1.030000,-5.199000,0.437000,-11.566000,-0.610000,-2.730000,0.030000,0.970000,-0.350000,1621685594424245951
42,36.000000,0.177723,120.000000,0.487752,178.690000,1.480000,4.000000,1.030000,-3.570000,0.562000,-13.136000,-0.610000,-2.900000,0.030000,0.990000,-0.380000,1621685594444243476
43,36.000000,0.177723,120.000000,0.487752,178.780000,1.370000,4.000000,0.930000,2.251000,-7.403000,-10.735000,-0.600000,-2.900000,0.030000,0.970000,-0.470000,1621685594464351557
44,36.000000,0.177723,120.000000,0.487752,178.780000,1.430000,4.000000,0.930000,-5.228000,-5.484000,-9.644000,-0.590000,-2.880000,0.030000,0.850000,-0.500000,1621685594484356474
45,36.000000,0.177723,120.000000,0.487752,178.800000,1.680000,4.000000,1.040000,-6.938000,1.602000,-19.133000,-0.630000,-2.920000,0.030000,0.860000,-0.500000,1621685594504295986
46,36.000000,0.177722,120.000000,0.487752,178.810000,1.380000,4.000000,1.040000,11.029000,-1.866000,-11.332000,-0.670000,-2.950000,0.030000,0.990000,-0.530000,1621685594524428834
47,36.000000,0.177722,120.000000,0.487752,178.850000,1.510000,4.000000,1.000000,-2.745000,-5.773000,-17.836000,-0.710000,-2.990000,0.030000,1.020000,-0.560000,1621685594544291868
48,36.000000,0.177722,120.000000,0.487752,178.870000,1.140000,4.000000,1.000000,5.514000,-6.928000,-13.224000,-0.730000,-3.010000,0.030000,1.110000,-0.560000,1621685594564571142
49,36.000000,0.177722,120.000000,0.487752,178.940000,1.450000,4.000000,1.000000,11.381000,11.934000,1.771000,-0.760000,-2.930000,0.030000,1.170000,-0.570000,1621685594584303814
50,36.000000,0.177722,120.000000,0.487752,178.960000,1.450000,4.000000,0.950000,-3.868000,7.092000,-17.343000,-0.780000,-3.010000,0.020000,1.130000,-0.580000,1621685594604280925
51,36.000000,0.177721,120.000000,0.487752,178.990000,1.810000,4.000000,0.950000,-2.684000,10.062000,3.451000,-0.770000,-2.840000,0.020000,1.030000,-0.600000,1621685594624394253
52,36.000000,0.177721,120.000000,0.487752,179.010000,1.380000,4.000000,0.950000,6.468000,0.839000,-12.702000,-0.750000,-2.880000,0.020000,1.060000,-0.620000,1621685594644450816
53,36.000000,0.177721,120.000000,0.487752,178.990000,1.380000,4.000000,0.950000,-7.427000,7.665000,-1.030000,-0.690000,-2.880000,0.020000,0.950000,-0.660000,1621685594664419030
54,36.000000,0.177721,120.000000,0.487752,178.960000,1.070000,4.000000,0.950000,7.789000,1.977000,-7.989000,-0.710000,-2.870000,0.020000,1.030000,-0.690000,1621685594684387181
55,36.000000,0.177721,120.000000,0.487752,178.930000,1.440000,4.000000,1.010000,5.462000,-11.964000,-13.891000,-0.680000,-3.070000,0.020000,1.050000,-0.770000,1621685594704434368
56,36.000000,0.177721,120.000000,0.487752,178.900000,1.010000,4.000000,1.010000,-4.124000,6.994000,-2.078000,-0.680000,-3.000000,0.020000,1.010000,-0.800000,1621685594724360024
57,36.000000,0.177720,120.000000,0.487752,178.850000,0.820000,4.000000,1.010000,-4.145000,-3.491000,-20.054000,-0.670000,-3.190000,0.020000,0.980000,-0.880000,1621685594744446890
58,36.000000,0.177720,120.000000,0.487752,178.990000,0.700000,4.000000,1.010000,-3.559000,-0.477000,-12.055000,-0.670000,-3.210000,0.020000,0.950000,-0.900000,1621685594764373794
59,36.000000,0.177720,120.000000,0.487752,179.060000,1.190000,4.000000,1.010000,0.139000,-3.496000,-13.281000,-0.690000,-3.190000,0.020000,0.970000,-0.970000,1621685594784312538
60,36.000000,0.177720,120.000000,0.487752,179.260000,0.710000,4.000000,1.060000,-2.340000,-7.859000,-19.955000,-0.670000,-3.270000,0.020000,0.950000,-0.970000,1621685594804253938
61,36.000000,0.177720,120.000000,0.487752,179.310000,0.830000,4.000000,1.060000,0.833000,-1.539000,-17.188000,-0.650000,-3.290000,0.020000,1.010000,-0.960000,1621685594824404833
62,36.000000,0.177719,120.000000,0.487752,179.460000,0.710000,4.000000,1.030000,-1.477000,-7.020000,-19.958000,-0.640000,-3.390000,0.020000,1.020000,-0.970000,1621685594844269243
63,36.000000,0.177719,120.000000,0.487752,179.480000,0.710000,4.000000,1.030000,-0.887000,-3.565000,-19.718000,-0.640000,-3.460000,0.020000,1.040000,-0.960000,1621685594864279952
64,36.000000,0.177719,120.000000,0.487752,179.500000,0.770000,4.000000,1.030000,-1.367000,-9.444000,-12.020000,-0.670000,-3.480000,0.020000,1.010000,-0.920000,1621685594884332419
65,36.000000,0.177719,120.000000,0.487752,179.510000,0.410000,4.000000,0.940000,-0.746000,-2.520000,-20.030000,-0.670000,-3.350000,0.020000,1.030000,-0.890000,1621685594904383830
66,36.000000,0.177719,120.000000,0.487752,179.450000,0.650000,4.000000,0.940000,-2.117000,-12.212000,-17.880000,-0.660000,-3.470000,0.010000,0.980000,-0.870000,1621685594924316750
67,36.000000,0.177719,120.000000,0.487752,179.430000,-0.330000,4.000000,0.940000,5.454000,-13.092000,-19.812000,-0.660000,-3.310000,0.010000,1.010000,-0.810000,1621685594944457342
68,36.000000,0.177718,120.000000,0.487752,179.460000,1.390000,4.000000,0.960000,-0.998000,7.424000,1.968000,-0.610000,-3.230000,0.010000,1.110000,-0.870000,1621685594964486962
69,36.000000,0.177718,120.000000,0.487752,179.500000,-0.140000,4.000000,0.960000,-2.554000,-20.327000,-19.808000,-0.580000,-3.210000,0.010000,1.060000,-0.780000,1621685594984896758
70,36.000000,0.177718,120.000000,0.487752,179.570000,0.530000,4.000000,0.950000,-1.394000,-7.038000,-12.766000,-0.530000,-3.060000,0.010000,0.970000,-0.800000,1621685595004256773
71,36.000000,0.177718,120.000000,0.487752,179.570000,0.530000,4.000000,0.950000,-1.394000,-7.038000,-12.766000,-0.530000,-3.060000,0.010000,0.970000,-0.800000,1621685595024439504
