frame,pgsnh,gpsnl,gpseh,gpsel,heading_angle,yaw_rate,gps_state,gps_velocity,acceleration_forward,acceleration_lateral,acceleration_down,pitch_angle,velocity_down,velocity_lateral,velocity_forward,roll_angle,timestamp
1,36.000000,0.177706,120.000000,0.487604,176.660000,0.620000,4.000000,0.610000,-3.488000,-5.023000,-14.258000,0.120000,-3.190000,0.020000,0.630000,-3.110000,1620812255234571104
2,36.000000,0.177706,120.000000,0.487604,176.660000,0.870000,4.000000,0.610000,3.148000,1.633000,-10.384000,0.110000,-3.190000,0.020000,0.660000,-3.200000,1620812255254315712
3,36.000000,0.177706,120.000000,0.487604,176.660000,0.370000,4.000000,0.600000,0.419000,-6.233000,-9.399000,0.130000,-3.220000,0.020000,0.650000,-3.220000,1620812255274464256
4,36.000000,0.177706,120.000000,0.487604,176.680000,0.380000,4.000000,0.600000,-2.167000,-0.296000,-11.358000,0.150000,-3.220000,0.020000,0.620000,-3.310000,1620812255294367616
5,36.000000,0.177706,120.000000,0.487604,176.680000,0.380000,4.000000,0.600000,0.354000,-1.302000,-10.291000,0.170000,-3.240000,0.020000,0.660000,-3.340000,1620812255317509024
6,36.000000,0.177706,120.000000,0.487604,176.720000,0.130000,4.000000,0.600000,1.635000,-4.059000,-10.003000,0.190000,-3.310000,0.020000,0.630000,-3.420000,1620812255335418912
7,36.000000,0.177706,120.000000,0.487604,176.720000,0.130000,4.000000,0.600000,-0.559000,1.627000,-12.573000,0.210000,-3.350000,0.020000,0.640000,-3.450000,1620812255355506368
8,36.000000,0.177705,120.000000,0.487604,176.720000,0.020000,4.000000,0.610000,-0.263000,-7.278000,-5.495000,0.260000,-3.210000,0.020000,0.620000,-3.560000,1620812255375394208
9,36.000000,0.177705,120.000000,0.487604,176.690000,0.760000,4.000000,0.610000,-4.298000,2.250000,-8.713000,0.270000,-3.160000,0.020000,0.570000,-3.600000,1620812255395495328
10,36.000000,0.177705,120.000000,0.487604,176.690000,-0.290000,4.000000,0.590000,0.754000,-7.818000,-8.976000,0.320000,-3.090000,0.020000,0.610000,-3.520000,1620812255415441344
11,36.000000,0.177705,120.000000,0.487604,176.700000,0.640000,4.000000,0.590000,-0.335000,-5.719000,-18.339000,0.340000,-3.120000,0.020000,0.570000,-3.480000,1620812255435354944
12,36.000000,0.177705,120.000000,0.487604,176.710000,-0.230000,4.000000,0.590000,-5.599000,-4.254000,-14.067000,0.390000,-3.120000,0.020000,0.650000,-3.410000,1620812255455289376
13,36.000000,0.177705,120.000000,0.487604,176.700000,0.630000,4.000000,0.590000,2.124000,-7.477000,-15.279000,0.410000,-3.220000,0.020000,0.610000,-3.380000,1620812255475436832
14,36.000000,0.177705,120.000000,0.487604,176.690000,-0.060000,4.000000,0.590000,-3.450000,-0.744000,-2.468000,0.390000,-3.090000,0.020000,0.630000,-3.330000,1620812255498053344
15,36.000000,0.177705,120.000000,0.487604,176.660000,0.380000,4.000000,0.570000,0.668000,-9.711000,-13.850000,0.370000,-3.140000,0.020000,0.630000,-3.290000,1620812255516103520
16,36.000000,0.177704,120.000000,0.487604,176.640000,0.130000,4.000000,0.570000,-0.794000,-1.199000,-6.881000,0.360000,-3.080000,0.020000,0.650000,-3.220000,1620812255533915776
17,36.000000,0.177704,120.000000,0.487604,176.630000,0.310000,4.000000,0.570000,-1.604000,-7.185000,-9.925000,0.380000,-3.090000,0.020000,0.630000,-3.190000,1620812255556043104
18,36.000000,0.177704,120.000000,0.487604,176.590000,-0.110000,4.000000,0.630000,4.029000,2.032000,-16.746000,0.430000,-3.180000,0.020000,0.670000,-3.110000,1620812255576036000
19,36.000000,0.177704,120.000000,0.487604,176.560000,0.330000,4.000000,0.630000,0.254000,2.428000,-11.822000,0.450000,-3.190000,0.020000,0.660000,-3.080000,1620812255595966432
