frame,pgsnh,gpsnl,gpseh,gpsel,heading_angle,yaw_rate,gps_state,gps_velocity,acceleration_forward,acceleration_lateral,acceleration_down,pitch_angle,velocity_down,velocity_lateral,velocity_forward,roll_angle
1,36.000000,0.177024,120.000000,0.488153,85.320000,-0.090000,4.000000,0.000000,-5.947000,-2.756000,-17.996000,16.630000,-1.370000,0.000000,0.000000,8.150000
2,36.000000,0.177024,120.000000,0.488153,85.320000,0.030000,4.000000,0.000000,-5.143000,1.331000,-17.670000,12.310000,-1.500000,0.000000,0.000000,8.160000
3,36.000000,0.177024,120.000000,0.488153,85.320000,0.030000,4.000000,0.000000,-5.143000,1.331000,-17.670000,12.310000,-1.500000,0.000000,0.000000,8.160000
4,36.000000,0.177024,120.000000,0.488153,85.320000,-0.120000,4.000000,0.000000,-6.666000,-0.693000,-12.065000,24.170000,-1.700000,0.000000,0.000000,8.150000
5,36.000000,0.177024,120.000000,0.488153,85.320000,-0.120000,4.000000,0.000000,-6.666000,-0.693000,-12.065000,24.170000,-1.700000,0.000000,0.000000,8.150000
6,36.000000,0.177024,120.000000,0.488153,85.350000,0.120000,4.000000,0.020000,-0.298000,0.581000,-10.342000,18.020000,-1.820000,0.000000,0.000000,8.200000
7,36.000000,0.177024,120.000000,0.488153,85.350000,0.120000,4.000000,0.020000,-0.298000,0.581000,-10.342000,18.020000,-1.820000,0.000000,0.000000,8.200000
8,36.000000,0.177024,120.000000,0.488153,85.350000,-0.040000,4.000000,0.020000,5.693000,-6.216000,-20.288000,7.000000,-2.030000,0.000000,0.000000,8.150000
9,36.000000,0.177024,120.000000,0.488153,85.350000,-0.090000,4.000000,0.020000,2.521000,-2.354000,-9.221000,13.590000,-2.020000,0.000000,0.000000,8.180000
10,36.000000,0.177024,120.000000,0.488153,85.350000,-0.090000,4.000000,0.020000,2.521000,-2.354000,-9.221000,13.590000,-2.020000,0.000000,0.000000,8.180000
11,36.000000,0.177024,120.000000,0.488153,85.350000,-0.090000,4.000000,0.020000,2.521000,-2.354000,-9.221000,13.590000,-2.020000,0.000000,0.000000,8.180000
12,36.000000,0.177024,120.000000,0.488153,85.360000,0.160000,4.000000,0.020000,-5.000000,6.008000,7.043000,3.300000,-1.880000,0.000000,0.000000,8.190000
13,36.000000,0.177024,120.000000,0.488153,85.360000,-0.190000,4.000000,0.020000,7.343000,-3.151000,-5.401000,-5.630000,-1.900000,0.000000,0.000000,8.170000
14,36.000000,0.177024,120.000000,0.488153,85.360000,-0.190000,4.000000,0.020000,7.343000,-3.151000,-5.401000,-5.630000,-1.900000,0.000000,0.000000,8.170000
15,36.000000,0.177024,120.000000,0.488153,85.360000,0.110000,4.000000,0.020000,-6.570000,10.049000,0.976000,-5.500000,-1.850000,0.000000,0.000000,8.190000
16,36.000000,0.177024,120.000000,0.488153,85.360000,0.110000,4.000000,0.020000,-6.570000,10.049000,0.976000,-5.500000,-1.850000,0.000000,0.000000,8.190000
17,36.000000,0.177024,120.000000,0.488153,85.360000,-0.270000,4.000000,0.020000,-4.894000,-3.255000,1.101000,-14.350000,-1.740000,0.000000,0.000000,8.170000
18,36.000000,0.177024,120.000000,0.488153,85.360000,-0.270000,4.000000,0.020000,-4.894000,-3.255000,1.101000,-14.350000,-1.740000,0.000000,0.000000,8.170000
19,36.000000,0.177024,120.000000,0.488153,85.360000,0.010000,4.000000,0.020000,-5.223000,8.752000,7.816000,-2.980000,-1.720000,0.000000,0.000000,8.190000
20,36.000000,0.177024,120.000000,0.488153,85.360000,0.010000,4.000000,0.020000,-5.223000,8.752000,7.816000,-2.980000,-1.720000,0.000000,0.000000,8.190000
21,36.000000,0.177024,120.000000,0.488153,85.360000,-0.200000,4.000000,0.020000,-7.767000,1.775000,5.463000,-5.730000,-1.650000,0.000000,0.000000,8.170000
22,36.000000,0.177024,120.000000,0.488153,85.350000,-0.080000,4.000000,0.020000,-5.331000,7.663000,-5.146000,6.060000,-1.790000,0.000000,0.000000,8.130000
23,36.000000,0.177024,120.000000,0.488153,85.350000,-0.080000,4.000000,0.020000,-5.331000,7.663000,-5.146000,6.060000,-1.790000,0.000000,0.000000,8.130000
24,36.000000,0.177024,120.000000,0.488153,85.350000,0.370000,4.000000,0.020000,-9.662000,8.088000,0.941000,1.720000,-1.850000,0.000000,0.000000,8.140000
25,36.000000,0.177024,120.000000,0.488153,85.350000,0.370000,4.000000,0.020000,-9.662000,8.088000,0.941000,1.720000,-1.850000,0.000000,0.000000,8.140000
26,36.000000,0.177024,120.000000,0.488153,85.330000,-0.170000,4.000000,0.020000,-0.724000,-2.419000,0.576000,1.220000,-1.800000,0.000000,0.000000,8.060000
27,36.000000,0.177024,120.000000,0.488153,85.330000,-0.170000,4.000000,0.020000,-0.724000,-2.419000,0.576000,1.220000,-1.800000,0.000000,0.000000,8.060000
28,36.000000,0.177024,120.000000,0.488153,85.330000,0.310000,4.000000,0.020000,8.078000,-5.112000,-11.366000,11.770000,-1.900000,0.000000,0.000000,8.090000
29,36.000000,0.177024,120.000000,0.488153,85.330000,0.310000,4.000000,0.020000,8.078000,-5.112000,-11.366000,11.770000,-1.900000,0.000000,0.000000,8.090000
30,36.000000,0.177024,120.000000,0.488153,85.330000,0.030000,4.000000,0.020000,-4.176000,2.632000,-12.714000,5.110000,-1.950000,0.000000,0.000000,8.040000
31,36.000000,0.177024,120.000000,0.488153,85.330000,0.030000,4.000000,0.020000,-4.176000,2.632000,-12.714000,5.110000,-1.950000,0.000000,0.000000,8.040000
32,36.000000,0.177024,120.000000,0.488153,85.380000,0.290000,4.000000,0.040000,13.230000,-8.645000,-13.543000,18.000000,-2.080000,0.000000,0.010000,8.070000
33,36.000000,0.177024,120.000000,0.488153,85.380000,0.290000,4.000000,0.040000,13.230000,-8.645000,-13.543000,18.000000,-2.080000,0.000000,0.010000,8.070000
34,36.000000,0.177024,120.000000,0.488153,85.380000,0.060000,4.000000,0.040000,-1.644000,1.009000,-18.329000,4.300000,-2.080000,0.000000,0.010000,8.030000
35,36.000000,0.177024,120.000000,0.488153,85.380000,0.060000,4.000000,0.040000,-1.644000,1.009000,-18.329000,4.300000,-2.080000,0.000000,0.010000,8.030000
36,36.000000,0.177024,120.000000,0.488153,85.270000,0.200000,4.000000,0.020000,11.221000,-9.168000,-19.435000,-2.120000,-2.310000,0.000000,0.010000,8.010000
37,36.000000,0.177024,120.000000,0.488153,85.270000,0.050000,4.000000,0.020000,3.337000,0.620000,-9.213000,9.570000,-2.260000,0.000000,0.000000,8.030000
38,36.000000,0.177024,120.000000,0.488153,85.270000,0.050000,4.000000,0.020000,3.337000,0.620000,-9.213000,9.570000,-2.260000,0.000000,0.000000,8.030000
39,36.000000,0.177024,120.000000,0.488153,85.270000,-0.190000,4.000000,0.020000,4.982000,-6.146000,-19.520000,1.280000,-2.290000,0.000000,0.000000,7.960000
40,36.000000,0.177024,120.000000,0.488153,85.270000,-0.190000,4.000000,0.020000,4.982000,-6.146000,-19.520000,1.280000,-2.290000,0.000000,0.000000,7.960000
41,36.000000,0.177024,120.000000,0.488153,85.250000,-0.120000,4.000000,0.040000,8.299000,-4.257000,-11.443000,3.470000,-2.400000,0.000000,0.010000,7.960000
42,36.000000,0.177024,120.000000,0.488153,85.250000,-0.210000,4.000000,0.040000,2.728000,-4.917000,-19.236000,0.290000,-2.230000,0.000000,0.010000,7.900000
43,36.000000,0.177024,120.000000,0.488153,85.250000,-0.210000,4.000000,0.040000,2.728000,-4.917000,-19.236000,0.290000,-2.230000,0.000000,0.010000,7.900000
44,36.000000,0.177024,120.000000,0.488153,85.250000,-0.100000,4.000000,0.040000,-3.509000,0.037000,3.559000,-1.310000,-2.240000,0.000000,0.010000,7.890000
45,36.000000,0.177024,120.000000,0.488153,85.250000,-0.100000,4.000000,0.040000,-3.509000,0.037000,3.559000,-1.310000,-2.240000,0.000000,0.010000,7.890000
46,36.000000,0.177024,120.000000,0.488153,85.270000,-0.110000,4.000000,0.050000,1.128000,-6.615000,-13.087000,4.010000,-2.170000,0.000000,0.010000,7.850000
47,36.000000,0.177024,120.000000,0.488153,85.270000,-0.110000,4.000000,0.050000,1.128000,-6.615000,-13.087000,4.010000,-2.170000,0.000000,0.010000,7.850000
48,36.000000,0.177024,120.000000,0.488153,85.270000,-0.200000,4.000000,0.050000,-3.202000,3.360000,4.634000,0.350000,-2.120000,0.000000,0.010000,7.840000
49,36.000000,0.177024,120.000000,0.488153,85.270000,-0.200000,4.000000,0.050000,-3.202000,3.360000,4.634000,0.350000,-2.120000,0.000000,0.010000,7.840000
50,36.000000,0.177024,120.000000,0.488153,85.330000,-0.130000,4.000000,0.040000,-1.838000,8.367000,6.895000,17.760000,-2.120000,0.000000,0.080000,7.850000
51,36.000000,0.177024,120.000000,0.488153,85.330000,-0.130000,4.000000,0.040000,-1.838000,8.367000,6.895000,17.760000,-2.120000,0.000000,0.080000,7.850000
52,36.000000,0.177024,120.000000,0.488153,85.330000,-0.170000,4.000000,0.040000,-9.515000,9.097000,4.538000,8.780000,-2.000000,0.000000,0.000000,7.830000
53,36.000000,0.177024,120.000000,0.488153,85.330000,-0.170000,4.000000,0.040000,-9.515000,9.097000,4.538000,8.780000,-2.000000,0.000000,0.000000,7.830000
54,36.000000,0.177024,120.000000,0.488153,85.330000,0.090000,4.000000,0.040000,-1.053000,7.736000,4.812000,3.310000,-2.020000,0.000000,0.010000,7.760000
55,36.000000,0.177024,120.000000,0.488153,85.290000,0.490000,4.000000,0.050000,-10.735000,11.385000,0.677000,3.260000,-1.880000,0.000000,0.010000,7.790000
56,36.000000,0.177024,120.000000,0.488153,85.290000,0.490000,4.000000,0.050000,-10.735000,11.385000,0.677000,3.260000,-1.880000,0.000000,0.010000,7.790000
57,36.000000,0.177024,120.000000,0.488153,85.290000,-0.030000,4.000000,0.050000,1.227000,4.391000,1.571000,-3.030000,-2.000000,0.000000,0.120000,7.770000
58,36.000000,0.177024,120.000000,0.488153,85.290000,-0.030000,4.000000,0.050000,1.227000,4.391000,1.571000,-3.030000,-2.000000,0.000000,0.120000,7.770000
59,36.000000,0.177024,120.000000,0.488153,85.290000,0.460000,4.000000,0.050000,-1.452000,-3.363000,-6.618000,-2.290000,-1.940000,0.000000,0.090000,7.760000
60,36.000000,0.177024,120.000000,0.488153,85.290000,0.460000,4.000000,0.050000,-1.452000,-3.363000,-6.618000,-2.290000,-1.940000,0.000000,0.090000,7.760000
61,36.000000,0.177024,120.000000,0.488153,85.320000,-0.060000,4.000000,0.050000,6.604000,-0.875000,-17.550000,-14.650000,-1.990000,0.000000,0.070000,7.710000
62,36.000000,0.177024,120.000000,0.488153,85.320000,0.400000,4.000000,0.050000,8.885000,-9.535000,-20.831000,10.060000,-2.210000,0.000000,0.250000,7.690000
63,36.000000,0.177024,120.000000,0.488153,85.320000,0.400000,4.000000,0.050000,8.885000,-9.535000,-20.831000,10.060000,-2.210000,0.000000,0.250000,7.690000
