frame,pgsnh,gpsnl,gpseh,gpsel,heading_angle,yaw_rate,gps_state,gps_velocity,acceleration_forward,acceleration_lateral,acceleration_down,pitch_angle,velocity_down,velocity_lateral,velocity_forward,roll_angle,timestamp
1,36.000000,0.177765,120.000000,0.487603,168.000000,2.330000,4.000000,0.000000,3.387000,3.484000,-15.611000,-2.760000,-3.020000,0.000000,0.000000,4.180000,1615979277735670240
2,36.000000,0.177765,120.000000,0.487603,168.000000,-3.200000,4.000000,0.000000,-8.779000,-1.325000,-7.791000,-2.810000,-3.030000,0.000000,0.000000,4.260000,1615979277753491168
3,36.000000,0.177765,120.000000,0.487603,168.000000,2.060000,4.000000,0.010000,3.545000,2.694000,-10.703000,-2.830000,-2.960000,0.000000,0.000000,4.280000,1615979277775702688
4,36.000000,0.177765,120.000000,0.487603,168.000000,2.060000,4.000000,0.010000,3.545000,2.694000,-10.703000,-2.830000,-2.960000,0.000000,0.000000,4.280000,1615979277793631200
5,36.000000,0.177765,120.000000,0.487603,168.000000,1.840000,4.000000,0.020000,10.829000,-2.084000,-0.870000,-2.900000,-2.820000,0.000000,0.000000,4.410000,1615979277813551488
6,36.000000,0.177765,120.000000,0.487603,168.000000,0.310000,4.000000,0.020000,-8.249000,-0.391000,-12.650000,-2.940000,-2.890000,0.000000,0.000000,4.470000,1615979277835589952
7,36.000000,0.177765,120.000000,0.487603,168.000000,0.310000,4.000000,0.020000,-8.249000,-0.391000,-12.650000,-2.940000,-2.890000,0.000000,0.000000,4.470000,1615979277853585504
8,36.000000,0.177765,120.000000,0.487603,168.000000,-0.610000,4.000000,0.020000,-2.395000,-1.013000,-13.063000,-3.000000,-2.880000,0.000000,0.000000,4.570000,1615979277875579616
9,36.000000,0.177765,120.000000,0.487603,168.000000,1.270000,4.000000,0.020000,9.119000,0.436000,-0.820000,-2.990000,-2.790000,0.000000,0.000000,4.570000,1615979277895657280
10,36.000000,0.177765,120.000000,0.487603,168.000000,1.270000,4.000000,0.020000,9.119000,0.436000,-0.820000,-2.990000,-2.790000,0.000000,0.000000,4.570000,1615979277913528256
11,36.000000,0.177765,120.000000,0.487603,168.000000,1.680000,4.000000,0.000000,9.772000,1.655000,-4.466000,-2.960000,-2.830000,0.000000,0.000000,4.660000,1615979277935490784
12,36.000000,0.177765,120.000000,0.487603,168.000000,-1.800000,4.000000,0.000000,-5.917000,-1.047000,-8.819000,-2.960000,-2.850000,0.000000,0.000000,4.750000,1615979277955493568
13,36.000000,0.177765,120.000000,0.487603,168.000000,1.550000,4.000000,0.020000,9.972000,3.439000,-3.647000,-2.920000,-2.800000,0.000000,0.000000,4.760000,1615979277975522240
14,36.000000,0.177765,120.000000,0.487603,168.000000,-2.100000,4.000000,0.020000,-6.490000,-1.117000,-8.389000,-2.890000,-2.840000,0.000000,0.000000,4.790000,1615979277997755392
15,36.000000,0.177765,120.000000,0.487603,168.000000,1.840000,4.000000,0.020000,4.783000,-0.969000,-7.725000,-2.860000,-2.820000,0.000000,0.000000,4.820000,1615979278013736960
16,36.000000,0.177765,120.000000,0.487603,168.000000,1.840000,4.000000,0.020000,4.783000,-0.969000,-7.725000,-2.860000,-2.820000,0.000000,0.000000,4.820000,1615979278033752416
17,36.000000,0.177765,120.000000,0.487603,168.000000,-2.360000,4.000000,0.020000,-7.604000,-1.268000,-8.574000,-2.840000,-2.870000,0.000000,0.000000,4.850000,1615979278053798272
18,36.000000,0.177765,120.000000,0.487603,168.000000,-3.260000,4.000000,0.020000,0.960000,3.038000,-14.784000,-2.810000,-2.860000,0.000000,0.000000,4.890000,1615979278073521888
19,36.000000,0.177765,120.000000,0.487603,168.000000,1.880000,4.000000,0.020000,-7.730000,-0.450000,-9.643000,-2.810000,-2.980000,0.000000,0.000000,4.960000,1615979278095597152
20,36.000000,0.177765,120.000000,0.487603,168.000000,-2.590000,4.000000,0.020000,1.326000,2.342000,-14.664000,-2.810000,-3.010000,0.000000,0.000000,4.930000,1615979278113479136
21,36.000000,0.177765,120.000000,0.487603,168.000000,-2.100000,4.000000,0.010000,2.912000,3.296000,-14.254000,-2.860000,-3.170000,0.000000,0.000000,4.990000,1615979278137031872
22,36.000000,0.177765,120.000000,0.487603,168.000000,-2.100000,4.000000,0.010000,2.912000,3.296000,-14.254000,-2.860000,-3.170000,0.000000,0.000000,4.990000,1615979278153673952
23,36.000000,0.177765,120.000000,0.487603,168.000000,-3.150000,4.000000,0.010000,-8.432000,-1.187000,-8.404000,-2.900000,-3.190000,0.000000,0.000000,5.060000,1615979278173440384
24,36.000000,0.177765,120.000000,0.487603,168.000000,-1.980000,4.000000,0.010000,3.300000,3.038000,-13.627000,-2.930000,-3.210000,0.000000,0.000000,5.040000,1615979278195547072
25,36.000000,0.177765,120.000000,0.487603,168.000000,-1.780000,4.000000,0.020000,3.517000,2.663000,-12.738000,-3.000000,-3.160000,0.000000,0.000000,5.000000,1615979278215509568
26,36.000000,0.177765,120.000000,0.487603,168.000000,1.830000,4.000000,0.020000,-8.840000,-0.546000,-7.092000,-3.040000,-3.150000,0.000000,0.000000,5.080000,1615979278235460160
27,36.000000,0.177765,120.000000,0.487603,168.000000,-0.500000,4.000000,0.020000,5.401000,1.647000,-1.712000,-3.060000,-3.030000,0.000000,0.000000,5.000000,1615979278255546784
28,36.000000,0.177765,120.000000,0.487603,168.000000,2.300000,4.000000,0.020000,-1.621000,-1.360000,-12.165000,-3.100000,-3.090000,0.000000,0.000000,5.060000,1615979278275522336
